SYSTEM_NO,SYSTEM_NAM,HQNAME,ADDRESS,CITY,STATE,ZIP,ZIP_EXT,POP_SERV,CONNECTION,AREA_SERVE
0300038,LAKE PARDEE REC AREA,LAKE PARDEE REC AREA,4900 STONEY CREEK RD,IONE,CA,95640,,3000,94,
0300041,SALT SPRINGS RESERVOIR & CAMP,SALT SPRINGS RESERVOIR & CAMP,BOX 758,ANGELS CAMP,CA,95222,,40,6,
0300043,OK Corral,OK Corral,27065 Highway 88,Pioneer,CA,95666,,25,7,
0300045,,,,,,,,500,0,
0300046,Deer Ridge Inn,Deer Ridge Inn,18400 W Inspiration Dr,Pioneer,CA,95666,,1000,2,
0300047,BRASS LANTERN,BRASS LANTERN,20135 PRAIRIE DR,VOLCANO,CA,95689,,75,1,
0300048,Pearl s,Pearl s,27649 Highway 88,Pioneer,CA,95666,,25,1,
0300049,Plasse Homestead Water Association,Plasse Homestead Water Associa,30001 Plasse Rd,Pioneer,CA,95666,,28,27,
0300050,Kay s Resort,Kay s Resort,48400 Kay s RD,Pioneer,CA,95666,,400,11,
0300051,Kit Carson Lodge,Kit Carson Lodge,32161 Kit Carson Road,Kit Carson,CA,95644,,100,27,
0300052,Cook s Station,Cook s Station,31950 Highway 88,Pioneer,CA,95666,,38,18,
0300053,Rancho Del Oro,Rancho Del Oro MHP,8825 Old Plymouth-Sacramento Rd,Plymouth,CA,95669,,34,24,
0300055,Sunset West Mutual Water Company,Sunset West Mutual Water Compa,W Highway 88,Martell,CA,95656,,25,8,
0300057,INSPIRATION LODGE,INSPIRATION LODGE,27277 HWY 88,PIONEER,CA,95666,,100,14,
0300058,"Camanche Hills Hunting Preserve, Inc.",Camanche Hills Hunt Club,2951 Curran Rd,Ione,CA,95640,,400,3,
0300059,Bubbles,Bubbles,27495 Highway 88,Pioneer,CA,95666,,300,1,
0300060,Black s Station,Black s Station,28355 Highway 88,Pioneer,CA,95666,,25,2,
0300062,Hope Foundation/Moriah Heights,Hope Foundation/Moriah Heights,240 Highway 16 Hwy,Plymouth,CA,95669,,30,22,
0300064,Amador Christian Center,Amador Christian Center,16829 Latrobe RD,Plymouth,CA,95669,,400,1,
0300065,Bear River Summer Home Tract,Bear River Summer Home Tract,Pardoes Rd,Pioneer,CA,95666,,45,43,
0300066,Big Trees Market,,25020 Shake Ridge Rd,Volcano,CA,95689,,15,20,
0300067,Camp Minkalo,Camp Minkalo,Kit Carson RD,Silver Lake,CA,95644,,500,1,
0300069,Devils Gate Tract Association,,,Kirkwood,CA,95652,,20,5,
0300070,E. Silver Lake Homeowners,E. Silver Lake Homeowners,Off Kit Carson Rd,Silver Lake,CA,95666,,54,54,
0300071,Indian Creek Bed & Breakfast,,21950  Highway 49,Plymouth,CA,95669,,20,10,
0300073,PG&E -- Tiger Creek Powerhouse,Tiger Creek Powerhouse,28570 Tiger Creek Rd,Pioneer,CA,95666,,35,9,
0300074,So. Silver Lake Homeowners,So. Silver Lake Homeowners,Highway 88,Silver Lake,CA,95644,,24,24,
0300075,"CalMills, Inc. - Pioneer","CalMills, Inc. - Pioneer",25270 Highway 88,Pioneer,CA,95666,,50,3,
0300076,Kirkwood Campground,Kirkwood Campground,Highway 88,Kirkwood,CA,95646,,65,4,
0300077,"Charles Spinetta Winery, LLC",Charles Spinetta Winery,12557 Steiner Rd,Plymouth,CA,95669,,25,1,
0300078,Ione Band of Miwok Indians,Ione Band of Miwok Indians,2815 Jackson Valley Rd,Ione,CA,95640,,62,20,
0300079,Butte Mountain Homeowners,,9109  Butte Mountain Ln,Jackson,CA,95642,,0,0,
0300080,Plasse s Resort,Plasse s Resort,30001 Plasse Rd,Pioneer,CA,95666,,711,125,
0300081,Villa Toscano Winery,Villa Toscano,10600 Shenandoah Rd,Plymouth,CA,95669,,100,3,
0300083,Bella Piazza Winery,Bella Piazza Winery,19900 Shenandoah School Rd,Plymouth,CA,95669,,71,2,
0300085,Roaring Camp,Roaring Camp,12380 Tabeau RD,Pine Grove,CA,95665,,25,6,Roaring Camp
